Nom du rapport,Description,Dossier
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000JeEg2AK/view?queryScope=userFolders,Rapport recensant les événements et tâches du jour par Commercial,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xhl72AC/view?queryScope=userFolders,Quels éléments de travail d’orchestration ont été créés et quel est le statut actuel de chaque élément de travail ?,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xhl62AC/view?queryScope=userFolders,Quelles exécutions d’étapes d’orchestration ont été créées et quel est le statut actuel de chaque exécution ?,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xhl42AC/view?queryScope=userFolders,Quelles exécutions d’orchestration ont été créées et quel est le statut actuel de chaque exécution ?,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xhl52AC/view?queryScope=userFolders,Quelles exécutions de phases d’orchestration ont été créées et quel est le statut actuel de chaque exécution ?,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xhl82AC/view?queryScope=userFolders,Quels journaux d’exécution ont été créés et que s’est-il passé dans leurs exécutions d’orchestration associées ?,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
Exemple de rapport sur le flux : Flux d',"Quels flux ont été exécutés, quel est le statut de chaque interview et combien de temps les utilisateurs ont passé sur les écrans ?",https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000000sBBNMA2/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=mine
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KgyL2AS/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LK0Q2AW/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KKIc2AO/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pfCUAQ/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aserQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pfDUAQ/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aserQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00O2X0000089pfHUAQ/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002aserQAA/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVfi2AG/view?queryScope=userFolders,Audits qualité vus par chaque Cial,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LVfs2AG/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xn612AC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xn622AC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Xn622AC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000MRkqYAG/view?queryScope=userFolders
Opp : Année N et N-1,,Rapports publics
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000001FULNMA4/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lSb000001YzGbIAK/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000JeOC2A0/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KcVj2AK/view?queryScope=userFolders,Extraction pour cumul CA à partir de l'intranet,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Jnyk2AC/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Jo0C2AS/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000WLZO2A4/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000MFmc2AG/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000MFqA2AW/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000000wnUzMAI/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000001FUObMAO/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lSb000001YzGbIAK/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000JnlC2AS/view?queryScope=userFolders,Estimatif C.A. (opportunité) pour les opportunités en cours (ni gagnées ni perdues),https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000KKcm2AG/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000WDui2AG/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00O2X000007r87NUAQ/view?queryScope=userFolders,Rapport sur Pipe commercial (opportunités regroupées par étape) en nombre et C.A.,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000JeEW2A0/view?queryScope=userFolders,Rapport sur Pipe commercial (opportunités regroupées par étape) en nombre et C.A. pour l'année en cours,https://codexa.lightning.force.com/lightning/r/sObject/00l2X000002CAqvQAG/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000LR9H2AW/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lAX000000M6ENYA0/view?queryScope=userFolders
https://codexa.lightning.force.com/lightning/r/sObject/00OAX000000Lb0C2AS/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000000tnZZMAY/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/o/Report/home?queryScope=organizationOwned
https://codexa.lightning.force.com/lightning/r/sObject/00OSb000000gmt3MAA/view?queryScope=userFolders,,https://codexa.lightning.force.com/lightning/r/sObject/00lSb0000012Hc6IAE/view?queryScope=userFolders
